,Misc,Hands,Hair Color,Hair,Eyebrows,Mouth,Lashes,Eye Color,Eyes,Top,Body,Background,Hat,Pet,Hair Clip,Sunglasses,Eyewear,Costume,Piercing,Whole Head Hat,Unique,Artist,Rarity score,Token Id
0,Beauty Mark,Lollipop Red,Blue,Bedhead,Angry Thin,Shocked,True,Black,Sweetheart,Ribboned Shirt Yellow White,Vanilla,Solid,None,None,None,None,None,None,None,None,None,None,44.83384999547614,0
1,None,Ice Cream Tubby,Teal,Blunt Bangs,Neutral,Shocked,False,Black,Detailed,Bandana Teal,Mint,Dots Purple,Wizard Hat Galaxy,None,None,None,None,None,None,None,None,None,50.82961232437731,1
2,None,None,White,Afro,Angry Cute,Teeth,False,Black,Half Lidded,Scarf Grey,Mochi,Tiny Heart Grey,None,None,None,None,None,None,None,None,None,None,20.595349031610983,2
3,None,None,Pink,Glam Rock,Ayo Thin,Raspberry,False,Pink,Chill,Winter Coat Pink,Mochi,Solid,None,Penguin Pink,None,None,None,None,None,None,None,None,46.75892849055503,3
4,None,None,None,Bald Udi,Surprised,Fanged Smile,False,Black,Knowing Right,Tubby Sweater Vest Red,Black Sesame,Solid,None,None,None,None,None,None,None,None,None,None,4.821798577657554,4
5,None,None,Dark Blue,Fluffy Mid Bangs,Big Round,Eh,True,Dark Blue,Half Lid,Sweater Vest Blue,Blue Raspberry,Star Clouds Blue Yellow,Mini Crown Blue,None,None,None,None,None,None,None,None,None,57.35191946730893,5
6,Blush,None,Pink,Short Blunt,Sad,Fishbone,False,Black,Embarrassed,Hoodie Pink Blush Emote,Mochi,Pawprint Pink,None,None,None,None,None,None,None,None,None,None,25.34581685588811,6
7,Blush,None,None,Bald Udi,Pien Short,Big Meh,False,Black,Looking Right,Sweater Vest Black Gold Heart Clip,Ube,Solid,None,None,None,None,None,None,None,None,None,None,8.026873470124173,7
8,Cheek Freckles,None,White,Face Hugging Short,Concerned,Letter Galaxy Star,False,Black,Tubby,Ribbon Tie Seifuku Light Blue,Black Sesame,Magic Moon Purple,Mini Crown Blue,None,None,None,None,None,None,None,None,None,47.672819471356505,8
9,Beauty Mark,None,Ginger,Short Spiky,Pien Short,Happy,False,Black,Tubby,Tubby Overalls Ube,Ube,Solid,None,None,Tubby Omanjuu Ube,Hearts Transparent Purple,None,None,None,None,None,None,62.64857435008086,9
10,None,None,Medium Blonde,Aristocrat,Pien,Frightened,True,Black,Long Pupils,Cloak Dark Blue,Black Sesame,Relaxing Day,Fancy Beret Black,None,None,None,None,None,None,None,None,None,43.827150132832024,10
11,None,None,Teal,Fluffy Short,Ayo Thick,Teeth,True,Black,Long Pupils,Tee Cheese,Mint,Pawprint Stripes Teal,None,None,None,None,None,None,None,None,None,None,27.574020293447187,11
12,None,None,Light Blue,Long Side Part Wavy,Surprised,Vampire,False,Light Blue,Plush,Tubby Maid Dress Blue,Mochi,Goopy Blue White,None,None,None,None,None,None,None,None,None,None,34.55965474009864,12
13,None,Book,None,Bald Udi,Ayo Thick,Toothy,False,Teal,Chill,Overalls Black,Mochi,Tubby Pattern Matcha,None,None,None,None,Round Glasses Brown,None,None,None,None,None,51.012191874851545,13
14,Blush,None,Medium Blonde,Long Side Part,Ayo Thin,Rose Red,True,Black,Looking Down,Puffer Jacket Red White,Pudding,Pawprint Navy Blue Yellow,None,None,None,None,None,None,None,None,None,None,33.13114334105939,14
15,None,None,Black,Fluffy Mid Bangs,Neutral,Fishbone,False,Black,Looking Right,Sweater Vest Black,Mochi,Solid,None,None,None,None,None,None,None,None,None,None,15.867770288842214,15
16,None,None,None,Bald Udi,Chill,Full Catmouth,False,Black,Droopy,Tee Love,Cotton Candy,Tubby Crowd Cotton Candy,None,None,None,None,None,None,None,None,None,None,9.672470609607132,16
17,None,None,Blonde,Emo,Pien Short,Teef,True,Black,Long Pupils,Tubby Maid Dress Yellow,Pudding,Gradient Dots Yellow,None,None,None,None,None,None,None,None,None,None,26.54829960618692,17
18,None,None,Black,Fluffy Mid Bangs,Chill,Donut,False,Black,Embarrassed,Lei,Cotton Candy,Cherry Blossoms,Cap Teal Pink,None,None,None,None,None,None,None,None,None,39.78176598276067,18
19,None,None,None,Bald Udi,Neutral,Cookie,True,Black,Half Lidded,Thick String Hoodie X Sleeves Teal Brown,Tiramisu,Cookies,None,Tubby Baby Mint,None,None,None,None,None,None,None,None,33.043826989635775,19
20,Whiskers,None,None,Bald Udi,Determined,W,True,Black,Half Lid,Hoodie Blue Heart,Tiramisu,Pawprint Stripes Light Blue,None,None,None,None,None,None,None,None,None,None,20.105101237750826,20
21,Blush,None,Platinum Blonde,Long Side Part,Worried,Happy Small,False,Black,Half Lid,Puffer Jacket Brown Green,Vanilla,Grid Green,None,None,None,None,None,None,None,None,None,None,27.71713302809221,21
22,None,Claw,Dusty Purple,Long Side Part Wavy,Neutral,Happy Small,True,Black,Squint,Tee Frog,Matcha,Goopy Purple White,None,None,Tubby Omanjuu Matcha,None,None,None,None,None,None,None,59.09817145909424,22
23,Blush,None,None,Bald Udi,None,Special,None,Black,Special,Kimono White,Mochi,Tubby Crowd Black Sesame,Goggles Black,None,None,None,None,None,None,None,None,None,37.566961376116936,23
24,Blush,None,Pastel Lavender,Face Hugging Short,Pien Short,Meh,False,Black,Cat Half Lidded,Overalls Black Purple,Matcha,Solid,None,None,Eye Ribbon Purple,None,None,None,None,None,None,None,40.93526960821443,24
25,Blush,None,White,Bows,Determined,Pien,False,Pink,Half Lid,Shoulder Towel Black,Blue Raspberry,Bathroom,None,None,None,None,None,None,None,None,None,None,39.43490477948404,25
26,Blush,None,Light Blue,Mohawk,Angry Thin,Piercings,False,Dark Blue,Detailed,Sweater Vest Blue Gold Heart Clip,Blue Raspberry,Sad Stickers,None,None,None,None,Halfrim Glasses Blue,None,None,None,None,None,59.26708820014748,26
27,None,None,None,Bald Udi,Angry Cute,Strawberry Red,True,Black,Looking Left,Blanket Wrap Blue,Vanilla,Relaxing Day,Mushroom,None,None,None,None,None,None,None,None,None,30.879562641182822,27
28,None,Egg Cracked,White,Pop Star Bowl Cut,Chill,Unimpressed,True,Black,Tired,Sailor Navy Bloody,Mochi,Solid,None,None,Thinking,None,None,None,None,None,None,None,49.56283435805941,28
29,None,None,None,Bald Udi,Pien Cute,Big Meh,False,Black Leak,Half Lidded,None,Blackberry,Solid,None,None,None,None,None,None,None,None,None,None,18.242836175167945,29
30,None,Balloon Blue,None,Bald Udi,Ayo Thick,Happy Small,False,Light Blue,Plush,Headphones Blue Black,Blue Raspberry,Gradient Blue,Spilled Ice Cream Blue Raspberry,None,None,None,None,None,None,None,None,None,51.52592844298142,30
31,Blush,None,None,Bald Udi,Worried,French Fries,False,Black,Pie,Chain Necklace Gold,Pudding,Solid,Tubby Overalls Hood Pudding,None,None,None,None,None,None,None,None,None,24.043761008233517,31
32,None,None,Blonde,Emo,Big Round,Happy Small,False,Yellow,Chill,Lei,Bubblegum,Simple Flowers Retro,None,None,None,None,None,None,None,None,None,None,37.253698443014606,32
33,Whiskers,None,None,Bald Udi,Chill,Smirk,False,Black,Looking Away,Scarf Stripes Blue,Tiramisu,Hearts Pattern Blue,None,None,None,None,None,None,None,None,None,None,17.62493714775004,33
34,Cheek Freckles,None,Platinum Blonde,Long Side Part,Concerned,Eh,False,Black,Half Lidded,Ribboned Shirt White Pink,Cotton Candy,Cherry Blossoms,None,None,None,None,None,None,None,None,None,None,32.002641279312684,34
35,None,None,Black,Wolf Cut,Pien,Fanged Smile,False,Black,Droopy,Nurse Cloak,Raspberry,Mushroom,None,None,None,None,None,None,None,None,None,None,24.251225027708504,35
36,None,Cotton Candy,Blonde,Emo,None,Special,None,Black,Special,Hoodie Ebifurai,Mochi,Tubby Crowd Pudding,Japanese Literary Hat,None,None,None,None,None,None,None,None,None,59.133944118411144,36
37,None,None,White,Hipster,Pien Cute,W,False,Black Leak,Anime,Belts,Steel Blue,Galaxy Grid Dark Blue,None,None,Bandage Black,None,Wrapped Eye White,None,None,None,None,None,74.6343537608327,37
38,Blush,None,Blonde,Emo,Big Round,Eh,False,Black,Pie,Puffer Jacket Yellow Black,Vanilla,Solid,Fast Food Visor,None,None,None,None,None,None,None,None,None,38.58109296718218,38
39,Blush,None,Light Blue,Afro,Angry Furrowed,Candy Blue,False,Black,Squint,Thick String Hoodie X Sleeves Light Blue,Blue Raspberry,Hearts Pattern Blue,None,None,None,None,None,None,None,None,None,None,29.559465338908502,39
40,Whiskers,None,None,Bald Udi,Sad,Teef,False,Black,Relaxed,Pimp Coat Tiger,Cotton Candy,Galaxy Grid Pink,None,None,None,None,None,None,None,None,None,None,17.638901612411953,40
41,Decora Purple Green,None,None,Bald Udi,Pien,Confused,True,Black,Long Pupils,Overalls Blue Green,Matcha,Gradient Purple,None,None,None,None,None,None,None,None,None,None,23.21619383031192,41
42,Blush,Thinking,Dark Green,Mohawk,Chill,Smirk,False,Black,Hipster,Ribbon Tie Seifuku Green,Matcha,Grid Green White,None,None,None,None,Round Glasses Green,None,None,None,None,None,59.730934782874954,42
43,Blush,None,None,Bald Udi,Surprised,Rose Pink,True,Light Blue,Detailed,Casual Dress Blue,Cotton Candy,Gradient Pink,Spilled Ice Cream Blue Raspberry,None,None,None,None,None,None,None,None,None,46.6727621797277,43
44,Blush,Shrug,Magenta,Short Parted Fringe,Pien,Shocked,True,Black,Pie,Sweater Vest Yellow Gold Star Clip,Vanilla,Solid,None,None,None,None,None,None,None,None,None,None,40.039560783940146,44
45,Cheek Freckles,None,Pink,Glam Rock,Concerned,Teef,False,Black,Embarrassed,Comfy Sweater Pink,Cotton Candy,Pawprint Pink,None,None,None,None,None,None,None,None,None,None,31.582732276649207,45
46,None,None,None,Bald Udi,Angry Thin,Clearly,True,Black,Dot,Blanket Wrap Teal,Mint,Solid,None,None,None,None,None,None,None,None,None,None,8.541668518400265,46
47,Cheek Freckles,None,Light Blue,Short Blunt,Angry Furrowed,Piercings,True,Black,Cute,Sweatshirt Pink Heart,Mochi,Tubby Crowd Cotton Candy,None,None,None,None,None,None,None,None,None,None,33.6159500255566,47
48,None,None,White,Fluffy Mid Bangs,Angry Cute,Smirk,False,Black,Glee,Low Cut Shirt Strap White,Mint,Solid,None,None,None,None,None,None,None,None,None,None,18.06611871089407,48
49,Decora Green,Rocker,Pink,Short Blunt,Pien Cute,Tongue,True,Light Green,Half Lid,Pet Collar Pink,Matcha,Solid,None,None,Sakura,None,Round Glasses Dark Green,None,None,None,None,None,92.5377584031174,49
50,Blush,None,Red,Pop Star Bowl Cut,Sad,Happy Small,True,Black,Long Pupils,Sweater Straps Maroon,Latte,Cheese,None,None,Orange Slice,None,Round Glasses Red,None,None,None,None,None,67.72829994999054,50
51,None,None,None,Bald Udi,Chill,Meh Blood Smear,False,Black,Half Lidded,None,Blackberry,Blood Splatter,None,None,None,None,None,Knight,None,None,None,None,29.626059818250912,51
52,Beauty Mark,None,None,Bald Udi,Neutral,Clearly,True,Black,Looking Left,Chunky Turtleneck Orange,Latte,Triangles Orange,Bisket Hat Yellow,None,None,Round White Tinted Fire,None,None,None,None,None,None,56.794642939249854,52
53,Cheek Freckles,Tubster Can White,White,Short Mid Part,Pien,Happy Wide,True,Black,Looking Away,Tubby Overalls Matcha,Matcha,Dots Green,None,None,None,None,Round Glasses White,None,None,None,None,None,66.64893238677398,53
54,Blush,None,White,Bows,Ayo Thick,Tongue Down,False,Black,Looking Left,Chunky Turtleneck Pink,Cotton Candy,Starry Pink Blue White,None,None,None,None,None,None,None,None,None,None,27.85101080563615,54
55,None,Egg Cracked,None,Bald Udi,Ayo Thick,Happy Small,True,Black,Tubby,None,Mochi,Pawprint White Grey,None,None,None,None,None,Tubby Onesie Black Sesame,None,None,None,None,42.088518955658074,55
56,Decora Pink,None,Light Green,Mohawk,Determined,Nervous,False,Black,Knowing Right,Puffer Jacket Green White,Bubblegum,Gradient Green,None,None,None,None,None,None,None,None,None,None,34.41382167345229,56
57,None,None,White,Afro,Surprised,Happy Small,True,Black,Looking Down,Hoodie 90s Pattern White,Matcha,Solid,None,None,Tubby Head Matcha,None,None,None,None,None,None,None,39.724622437366975,57
58,None,Point,None,Bald Udi,Worried,Happy Wide,False,Black,Cat,Puffer Jacket Orange Teal,Mint,Dots Teal,Spilled Ice Cream Mint,None,None,None,None,None,None,None,None,None,38.219034175837606,58
59,None,None,Black,Flared Sides Short,Chill,Nervous,False,Black,Half Lid,Bow With Brooch Black,Blue Raspberry,Fancy Dark Red,None,None,None,None,None,None,None,None,None,None,22.343901686334654,59
60,Blush,None,None,Bald Udi,Surprised,Unsure,True,Black,Tubby,Tubby Vest Pudding,Vanilla,Solid,Tubby Overalls Hood Pudding,None,None,None,None,None,None,None,None,None,29.39492917685292,60
61,None,None,Bright Blonde,Long Mid Part,Neutral,Wide Cute,False,Purple Leak,Half Lidded,Tee Stripes Yellow,Mochi,Pawprint Yellow,None,None,Tubby Head Pudding,None,None,None,None,None,None,None,53.257569229230285,61
62,None,None,None,Bald Udi,Sad,W,False,Black,Pie,Layered Jacket Brown Black,Vanilla,Flower Field Light,None,None,None,None,Hipster Glasses Brown,None,None,None,None,None,27.84169505277776,62
63,Whiskers,None,None,Bald Udi,Angry Thin,Happy,False,Black,Relaxed,Thick String Hoodie X Sleeves Pink,Mochi,Pawprint Stripes Pink,None,Bunny Pink,None,None,None,None,None,None,None,None,34.058350827584746,63
64,Blush,Lollipop Purple,Lilac,Emo,Big Round,Unimpressed,True,Black,Knowing Left,Hoodie Tubby Ube,Ube,Solid,None,None,None,None,None,None,None,None,None,None,40.3025020791997,64
65,None,Lollipop Blue,White,Long Side Part Wavy,Chill,Wide,False,Black,Dot,Cape Light Blue,Mochi,Grid Blue White,None,None,None,None,None,None,None,None,None,None,33.110187887665596,65
66,Whiskers,None,None,Bald Udi,Ayo Thick,Piercings,True,Black,Cute,Sweater Vest Blue Silver Heart Clip,Mochi,Pawprint Stripes Light Blue,None,None,None,None,None,None,None,None,None,None,19.741160600055004,66
67,None,None,Platinum Blonde,Short Fringe,Determined,Unimpressed,False,Black,Tired,Sweater Straps Brown,Matcha,Grid Green,None,None,None,None,None,None,None,None,None,None,24.200266162611094,67
68,None,None,White,Afro,Concerned,Happy Small,False,Black,Detailed,Hoodie White Black Split,Blackberry,Clouds Grey,None,Sheep Black,None,None,None,None,None,None,None,None,41.50613261827011,68
69,Blush,None,None,Bald Udi,Big Round,Unimpressed,False,Black,Looking Down,Cowboy Bandana Black,Mochi,Solid,None,None,None,None,Hipster Glasses Black,None,Double Ear Piercing Right,None,None,None,43.77172694937794,69
70,None,None,None,Bald Udi,Chill,Raspberry,False,Black,Cat,None,Circuit Teal,90s Pattern Neon White,None,Tubby Baby Mint,None,None,None,None,None,None,None,None,29.066282296492307,70
71,Blush,None,None,Bald Udi,Ayo Thin,Nervous,True,Light Blue,Half Lid,Hoodie Meow White Pink,Blue Raspberry,Starry Pink,None,None,None,None,Face Bandages Blue Pink,None,None,None,None,None,49.19284954054662,71
72,None,None,Green,Loose Twintails,Sad,Confused,True,Black,Pie,Sweater Vest Green Gold TC Clip,Matcha,Solid,None,Tubby Baby Matcha,Tubby Head Matcha,None,None,None,None,None,None,None,59.058923068928735,72
73,None,None,Dark Teal,Side Bun,Angry Thin,Unsure,True,Black,Long Pupils,Tubby Vest Mint,Mint,Star Clouds Pink,None,None,None,None,None,None,None,None,None,None,28.23783582446576,73
74,Blush,None,Blonde,Mohawk,Relaxed,Clearly,False,Black,Cute,You Tried Gold Star,Pudding,Galaxy Grid Dark Blue,None,None,None,None,None,None,None,None,None,None,27.156212620163338,74
75,Cheek Freckles,None,Medium Blonde,Long Side Part,Ayo Thin,Full,False,Light Blue,Chill,Maid Ruffled Black White,Black Sesame,Solid,None,None,None,None,None,None,None,None,None,None,40.43552510599267,75
76,Cheek Freckles,None,None,Bald Udi,Ayo Thin,Raspberry,False,Red,Plush,Puffer Jacket Red Black,Black Sesame,Solid,None,Hedgehog Albino,None,None,None,None,None,None,None,None,44.85845654430407,76
77,None,None,Light Blonde,Glam Rock,Pien Cute,Smirk,True,Pink,Detailed,Frilly Dress Pink,Ube,Solid,None,None,None,None,None,None,None,None,None,None,34.00276804311657,77
78,Blush,Maneki Neko,Dark Brown,Short Blunt,Pien Short,Confused,True,Black,Pie,Turtleneck Coat Brown Beige,Tiramisu,Dotted Paper Brown,None,None,None,None,None,None,None,None,None,None,44.33299696433677,78
79,None,None,Purple,Short Messy Flared,Pien Short,Teef,True,Black,Pie,Hoodie White Green Flames,Matcha,Goopy Purple White,None,Tubby Baby Matcha,Clover,None,None,None,None,None,None,None,64.466718068638,79
80,Blush,None,None,Bald Udi,Neutral,Tongue Down,True,Black,Looking Right,Devil Wings Teal,Mint,Solid,None,None,None,None,None,None,None,None,None,None,13.251237087630388,80
81,None,Chocolate Bar,Dark Pink,Mohawk,Surprised,Smirk,False,Purple,Chill,Hoodie Pink Blush Emote,Cotton Candy,Magic Moon Purple,None,None,None,None,Hipster Glasses Purple,None,None,None,None,None,67.73548644665489,81
82,Decora Green,None,White,Long Side Part Wavy,Pien Short,Tongue,True,Black,Long Pupils,Business Casual White Green,Matcha,Starry Black,None,None,None,Round Black Tinted Green,None,None,None,None,None,None,55.2846849466489,82
83,Blush,Ice Cream,Brown,Side Bun,Pien Short,Tongue Down,False,Black,Relaxed,Jacket Pink Tubby Studs Pink,Tiramisu,Solid,None,None,None,Round White Tinted Pink,None,None,None,None,None,None,53.2464991414903,83
84,None,None,White,Tiny Braids,None,Fanged Smile,True,Black,Sweetheart,Winter Coat White,Blackberry,Solid,None,Polar Bear,Drippy Heart Teal,None,None,None,None,None,None,None,60.5603709287018,84
85,None,Sprout,None,Bald Udi,Big Round,Happy Small,True,Green,Detailed,Thick String Hoodie X Sleeves Yellow,Matcha,Gradient Green,None,None,None,None,None,None,Double Ear Piercing Left,None,None,None,58.414151656227176,85
86,Cheek Freckles,Paws Together,None,Bald Udi,Relaxed,Raspberry,False,Yellow,Chill,Pinafore Purple,Ube,Magic Moon Purple,Mage Hat Purple,None,None,None,None,None,None,None,None,None,58.60807151242787,86
87,None,None,Light Green,Mohawk,Big Round,Tongue,False,Light Green,Chill,Sailor Green,Matcha,Solid,None,None,None,None,None,None,None,None,None,None,31.85453879336293,87
