,Type,Generation,Feet,Mouth,Nose,Eyes,Ears,Head,Fur,Alpha Score,Neck,Rarity score,Token Id
0,Sheep,Gen 0,Dress Shoes,Big Smile,Dots,Basic Sun Protection,None,Blue Hat,Brown,None,None,24.49771966026334,1
1,Sheep,Gen 0,Green Sneakers,Cheese,Triangle,Dork,Two Gold Piercings,None,White,None,None,28.482291787714065,2
2,Sheep,Gen 0,White and Gray Sneakers,Narrow Open Mouth,Dot,Dork,None,Santa,Gray,None,None,23.814074935147442,3
3,Sheep,Gen 0,Red Sneakers,Wide Open Mouth,Dot,Happy,None,Rainbow Fro,White,None,None,15.343144483956372,4
4,Sheep,Gen 0,Yellow Sneakers,Pipe,Dot,Staring Contest,None,None,White,None,None,12.433041433247057,5
5,Sheep,Gen 0,None,Big Smile,Dots,Fearless,None,Beanie,Brown,None,None,13.499777331656174,6
6,Sheep,Gen 0,None,Narrow Open Mouth,X,Cross Eyed,None,Bucket Hat,Brown,None,None,13.528599563282178,7
7,Sheep,Gen 0,None,Narrow Open Mouth,Dot,Fake Glasses,None,None,White,None,None,0.7299012666938207,8
8,Sheep,Gen 0,Red Sneakers,Neutral,Normal,Confused,None,Beanie,White,None,None,14.58637227497448,9
9,Sheep,Gen 0,Red Sneakers,Cigarette,Dots,Big Blue,Diamond Stud,Capone,Brown,None,None,43.68883353789791,10
10,Wolf,Gen 0,None,Howling,None,3D Glasses,None,Delta,White,6,None,49.06461908661972,11
11,Wolf,Gen 0,None,Neutral,None,Calm,None,Omega,Brown,5,None,54.66629487476885,12
12,Sheep,Gen 0,None,Wide Open Mouth,Dot,Staring Contest,Gold Hoop,Mailman,Brown,None,None,30.624780609136877,13
13,Sheep,Gen 0,Yellow Sneakers,Cheese,Dots,Happy,Gold Hoop,Cowboy Hat,White,None,None,32.36420884318335,14
14,Sheep,Gen 0,Yellow Sneakers,Beard,Dot,Happy,None,Blue Hat,Brown,None,None,25.350544586415392,15
15,Wolf,Gen 0,None,Flared Nostrils,None,Calm,None,Beta,Brown,7,None,59.21845960310329,16
16,Sheep,Gen 0,White and Gray Sneakers,Cheese,X,Leafy Green,Gold Bling,None,White,None,None,31.446099707754588,17
17,Sheep,Gen 0,Blue Sneakers,Cheese,Wide,Dork,Two Gold Piercings,Pointy Golden Horns,Brown,None,None,42.42309123155758,18
18,Sheep,Gen 0,None,Smirk,Dot,Leafy Green,None,Bucket Hat,White,None,None,4.179848400461355,19
19,Sheep,Gen 0,None,Mustache,X,Basic Sun Protection,Gold Bling,Curved Brown Horns,Brown,None,None,32.107600042509155,20
20,Sheep,Gen 0,Purple Sneakers,Wide Open Mouth,Punched,Sleepy,None,Fedora,Black,None,None,29.445516423277073,21
21,Sheep,Gen 0,None,Wide Open Mouth,Red,Leafy Green,Gold Bling,Mailman,White,None,None,24.95092245330275,22
22,Sheep,Gen 0,Purple Sneakers,Narrow Open Mouth,Wide,Squint Left,None,Beanie,White,None,None,14.57094962607669,23
23,Sheep,Gen 0,Striped Socks,Wide Open Mouth,Normal,Black Glasses,None,Blue Hat,White,None,None,15.671612963594589,24
24,Sheep,Gen 0,High,Chill Smile,U,Dork,None,Sun Hat,White,None,None,15.354656765192063,25
25,Sheep,Gen 0,None,Cheese,Dot,Rainbow Sunnies,Two Gold Piercings,White Cap,Brown,None,None,31.9597110989077,26
26,Sheep,Gen 0,Roller Blades,Big Smile,Dots,Angry,Gold Hoop,Capone,Gray,None,None,40.500626041603134,27
27,Sheep,Gen 0,Green Sneakers,Mustache,Dot,Squint Right,None,Beanie,White,None,None,14.6343283167157,28
28,Wolf,Gen 0,None,Tongue Out,None,Closed,None,Delta,Gray,6,None,56.46982076374367,29
29,Sheep,Gen 0,Yellow Sneakers,Chinstrap,Dots,Fake Glasses,None,Blue Hat,White,None,None,15.554427422683261,30
30,Sheep,Gen 0,Red Sneakers,Chill Smile,Red,Angry,Gold Hoop,Sun Hat,White,None,None,33.56276809567651,31
31,Sheep,Gen 0,Yellow Sneakers,Cheese,U,Dork,None,None,Gray,None,None,19.159939510536066,32
32,Wolf,Gen 0,None,Frown,None,The Intellectual,None,Omega,Gray,5,Diamond,79.48585054517731,33
33,Sheep,Gen 0,None,Cheese,Dot,Spacey,Gold Hoop,Fedora,White,None,None,22.01398394251638,34
34,Wolf,Gen 0,None,Flared Nostrils,None,Unibrow,None,Omega,Gray,5,Bandana,79.24764852810064,35
35,Sheep,Gen 0,None,Cigarette,Triangle,Confused,Gold Bling,Capone,White,None,None,24.57635031459905,36
36,Sheep,Gen 0,Clogs,Narrow Open Mouth,X,Sleepy,Two Gold Piercings,Blue Hat,Gray,None,None,40.09534423710278,37
37,Sheep,Gen 0,None,Pipe,Wide,Cross Eyed,None,Capone,White,None,None,6.014296524039139,38
38,Sheep,Gen 0,Purple Sneakers,Cheese,Dot,Sleepy,Diamond Stud,None,Gray,None,None,37.59839229673555,39
39,Sheep,Gen 0,Striped Socks,Chill Smile,Wide,Cyclops,None,Bucket Hat,White,None,None,16.17295681411427,40
40,Sheep,Gen 0,None,Wide Open Mouth,X,Squint Left,None,Capone,Brown,None,None,13.972317734097281,41
41,Sheep,Gen 0,Red Sneakers,Missing Tooth,U,Happy,None,Sun Hat,White,None,None,15.750352816171024,42
42,Sheep,Gen 0,Green Sneakers,Pouting,X,Cross Eyed,None,None,White,None,None,11.689645989201798,43
43,Sheep,Gen 0,None,Wide Open Mouth,Dots,Basic Sun Protection,Two Gold Piercings,None,Brown,None,None,26.78322644501381,44
44,Sheep,Gen 0,Frozen,Neutral,Normal,Fearless,None,Blue Hat,White,None,None,15.36816610288881,45
45,Sheep,Gen 0,Ice Skates,Smirk,Dots,Big Blue,Gold Hoop,Fedora,Brown,None,None,42.2060440147433,46
46,Sheep,Gen 0,None,Neutral,Dot,Black Glasses,None,None,White,None,None,0.030734846673394364,47
