,Stamina,Special Set,Pet,Mask,Clothes,Eyes,Mouth,Antenna,Skin,Background,Class,Rarity score,Token Id
0,4356.92,TV-Borg,None,Broken-TV,None,None,None,None,TV-Orange,Tiffany,Elite,74.5619252977086,0
1,3852.29,None,None,None,Black-Suit,WTF,Smoke,Flower-Purple,Leopard,Carolina,Elite,45.697211736069185,1
2,973.94,None,None,None,None,Banana-Shades,Displeased,Top-Hat-Grey,Purple,Attitude,Common,6.711337217411921,2
3,901.74,None,None,None,None,Badboi-Shades,Rude-Tongue,Mohawk-Red,White,Ruby-Fiddle,Common,2.7364472035041447,3
4,912.14,None,None,None,None,Party-Shades,Dope,Salsa,Silver,Pigeon,Common,3.3128104769921887,4
5,973.14,None,None,None,None,Banana-Shades,Pipe,Beanie-Pink,Green,Mint,Common,6.885203972636085,5
6,1555.91,None,None,None,None,Star-Gazer,Happy-Fangs,Rabbit-White,Hollow-Golden,Electric,Rare,16.264886903022322,6
7,900.95,None,None,None,None,Funky-Apple,Stressed,Pointed-Beanie-Pink,White,Mauve,Common,2.7363559489179354,7
8,995.75,None,None,None,None,Disturbed,Fangs,Afro,Green,Green-Clouds,Common,7.851539382092487,8
9,898.14,None,None,None,None,Party-Shades,Pipe,Emo-Blonde,White,Puce-Fiddle,Common,2.5626717942346096,9
10,957.94,None,None,None,None,In-Love,Silence,Beanie-Pink,Blue,Salmon,Common,6.070733451277899,10
11,3869.84,None,None,Serial-Killer,None,None,None,Golden-Halo,Hollow-Golden-Angel,Pigeon,Elite,47.986302849300564,11
12,975.74,None,None,None,None,In-Love,Dope,Lucky-Irish,Red,Air-Force-Fiddle,Common,6.819802878474583,12
13,3874.25,None,None,None,Hoodie-Blue,Disturbed,Happy-Fangs,Chopper-Kid,Swirley,Grey,Elite,46.7064771516151,13
14,981.95,None,None,None,None,Spaced-Out,Intense,Afro,Red,Salmon,Common,7.080589945814626,14
15,887.54,None,None,None,None,Badboi-Shades,Tiny-Tongue,Pirate-Parrot,White,Puce,Common,1.8028687675944997,15
16,1541.9,None,None,None,None,Banana-Shades,Smoke,Gel-Blue,Hollow-Black-Angel,Air-Force-Fiddle,Rare,15.363687424675538,16
17,858.14,None,None,None,None,Rainbow-Shades,Ogre,Mouse-Beanie,White,Salmon,Common,0.8037022713434282,17
18,917.95,None,None,None,None,Bored-Lizzard,Interesting,Bandana-Green,White,Grizzle,Common,3.8006148482336357,18
19,912.55,None,None,None,None,Spaced-Out,Fangs,Uncle-Fro,White,Worldly-Fiddle,Common,3.388062708915395,19
