,Character,Head,Full Face,Mouth Features,Eye Combinations,Clothes,Skin,Backgrounds,Face Accessories,The Naughty Ones,Rarity score,Token Id
0,OG,Blue Ninja Headband,Standard Face,Smug,Closed,Pine Green Suprim Hoodie,Light Brown,Pink,None,None,24.70959874709086,1
1,OG,None,Standard Face,Goofy,Closed,Baby Blue Suprim Hoodie,Light Brown,Green,Heart Glasses,None,23.624316480763397,2
2,Floaties,Military Cap,Standard Face,None,None,Zig Zaggy,Shiny Blue Floatie,Pink,None,None,44.5887809491751,3
3,OG,Yellow Troll Hair,Standard Face,Rainbow Beam,Happy,Blue Hakama,Light Brown,Pink,3D Glasses,None,48.002264671669906,4
4,Noob,None,Standard Face,Bored,Baby,Camo Shirt,Light Brown,Pink,None,None,0.233007467027003,5
5,Noob,None,Standard Face,Smug,Happy,Yellow Lightning Shirt,Light Brown,Purple,Eyepatch,None,19.170481984771374,6
6,Noob,None,Standard Face,Face Mask,Happy,Red Lightning Shirt,Light Brown,Yellow,Scientist Glasses,None,20.924491432646857,7
7,OG,None,Standard Face,Smug,Standard,Floral Haori,Light Brown,Pink,None,None,3.0993521233604246,8
8,OG,None,Standard Face,Goofy,Baby,Saiyan Shirt,Light Brown,Green,None,None,3.765035526631763,9
9,Noob,None,Standard Face,Goofy,Shocked,Red Lightning Shirt,Light Brown,Yellow,None,None,0.6423477258390752,10
10,Digipet,None,Serious,None,None,Blue Dip,Yellow Body,Blue,None,None,52.34854988820141,11
11,Noob,None,Standard Face,Bored,Standard,Red Lightning Shirt,Light Brown,Green,None,None,0.30957660209061083,12
12,Robo,None,Standard Face,Gap Grill,Magenta Beam,Yellow Jet Pack,Robo 0002,Green,None,None,33.2672362666962,13
13,Noob,None,Standard Face,Bored,Baby,Skull Shirt,Light Brown,Pink,None,None,0.6691069634088741,14
14,Night Panthers,None,Standard Face,Sad,Alien,Green Fury Cape,White Rogue,Dark,None,None,33.8328763685052,15
15,OG,None,Standard Face,Oh,Baby,Biker Jacket,Light Brown,Blue,None,None,3.4588358593820883,16
16,Noob,None,Standard Face,Bored,Scar,Four Leaf Clover Shirt,Light Brown,Blue,None,None,1.9971447583162871,17
17,Robo,Antennae,Standard Face,Three Bolts,Magenta Beam,Darth Buttons,Robo 0003,Blue,None,None,54.658895086236114,18
18,OG,Military Visor Hat,Standard Face,Oh,Closed,Wild West Jacket,Light Brown,Blue,None,None,25.681480481142266,19
19,Noob,None,Standard Face,Standard,Closed,Lightning Glitch Shirt,Light Brown,Purple,3D Glasses,None,21.067668663576082,20
20,Trollz,Red Troll Mohawk,Standard Face,Goofy,Shocked,Red Shirt,Bronze Troll,Orange,Nerd Glasses,None,67.29407989461976,21
21,Noob,None,Standard Face,Goofy,Shocked,Bomb Shirt,Light Brown,Yellow,None,None,0.605725326558898,22
22,Noob,None,Standard Face,Sad,Sad,Heart Shirt,Light Brown,Blue,None,None,2.263435630538308,23
23,OG,None,Standard Face,Goofy,Closed,Corner On White Hoodie,Light Brown,Orange,None,None,3.092661818793872,24
24,OG,Red Reverse Snapback,Standard Face,Bored,Confused,Blue Skeleton Hoodie,Light Brown,Green,None,None,24.912660807082553,25
25,Robo,None,Standard Face,Gap Grill,Green Beam,Teal Jet Pack,Robo 0002,Yellow,None,None,33.30715837833004,26
26,Noob,None,Standard Face,Sad,Shocked,Red Lightning Shirt,Light Brown,Yellow,None,None,0.6190996164187169,27
27,Animals,None,Standard Face,Bored,Cute,Pine Green Suprim Hoodie,Panda,Blue,None,None,24.980063443878926,28
28,OG,Blue Short Mohawk,Standard Face,Goofy,Cyberpunk,White Suprim Hoodie,Light Brown,Pink,None,None,26.869700339035386,29
29,OG,None,Standard Face,Smug,Baby,White Baseball Jacket,Light Brown,Orange,None,None,2.7231847363495607,30
30,Aliem,None,Guilty,None,None,Gray Shirt,Sunny Aliem,Light,Nerd Glasses,None,74.58414075879072,31
31,Animals,Military Visor Hat,Standard Face,Standard,Standard,Pine Green Suprim Hoodie,Lion,Orange,None,None,45.137601365901176,32
32,Noob,None,Standard Face,Bored,Scar,Heart Shirt,Light Brown,Orange,Eyepatch,None,20.741476315887493,33
33,Animals,Black Reverse Snapback,Standard Face,Smug,Scar,Baby Blue Suprim Hoodie,Panda,Pink,None,None,46.71178587530065,34
34,Floaties,Military Cap,Standard Face,None,None,Yellow Cross,Shiny Red Floatie,Purple,Pixel Shades,None,64.76190374590264,35
35,OG,None,Standard Face,Face Mask,Scar,Pine Green Suprim Hoodie,Light Brown,Green,Pilot Goggles,None,26.66640398444252,36
36,OG,Angelic Halo,Standard Face,Standard,Standard,Red Accent Suit,Light Brown,Pink,None,None,25.611602643394214,37
37,Noob,None,Standard Face,Smug,Happy,Rainbow Heart Shirt,Light Brown,Green,None,None,0.2230174487771141,38
38,Animals,Black Reverse Snapback,Standard Face,Smug,Adorable,White Baseball Jacket,Panda,Pink,None,None,46.911461666660564,39
39,Noob,None,Standard Face,Smug,Angry,Heart Shirt,Light Brown,Blue,Scientist Glasses,None,20.798028805511294,40
40,OG,None,Standard Face,Oh,Confused,Baby Blue Suprim Hoodie,Light Brown,Pink,Nerd Glasses,None,22.026726053042818,41
41,Noob,None,Standard Face,Pink Bubblegum,Happy,Red Lightning Shirt,Light Brown,Blue,None,None,2.170240101334273,42
42,OG,None,Standard Face,Happy,Happy,Floral Haori,Light Brown,Green,Scientist Glasses,None,22.389519489186736,43
43,Noob,None,Standard Face,Standard,Standard,Skull Shirt,Light Brown,Pink,None,None,0.8755063521435476,44
44,OG,Green Troll Hair,Standard Face,Rainbow Smile,Closed,Orange Suprim Hoodie,Light Brown,Orange,None,None,26.17738988450835,45
45,Aliem,None,Guilty,None,None,Gray Shirt,Neon Aliem,Light,Pilot Goggles,None,75.92190061503715,46
46,Champs,Red Snapback,Standard Face,Shocked,Confused,Blue Shirt,Bronze,Orange,Scientist Glasses,None,65.78330793158645,47
47,Noob,None,Standard Face,Happy,Laser,Rainbow Heart Shirt,Light Brown,Orange,None,None,2.749313741111791,48
48,Noob,None,Standard Face,Standard,Confused,Lightning Glitch Shirt,Light Brown,Purple,None,None,0.4127321881594038,49
49,OG,None,Standard Face,Drooling,Confused,White Suprim Hoodie,Light Brown,Blue,None,None,3.1392885448665515,50
50,Noob,None,Standard Face,Goofy,Scar,Rainbow Shirt,Light Brown,Orange,Cyberpunk Shades,None,22.79165613405996,51
51,Noob,None,Standard Face,Pink Bubblegum,Adorable,Heart Shirt,Light Brown,Purple,None,None,3.897702388948296,52
52,Animals,None,Standard Face,Standard,Standard,Corner On White Hoodie,Cheetah,Yellow,Nerd Glasses,None,43.25073694000366,53
53,OG,Beanie,Standard Face,Standard,Baby,Corner On White Hoodie,Light Brown,Purple,Nerd Glasses,None,43.41958995936516,54
54,Noob,None,Standard Face,Smug,Angry,Red Lightning Shirt,Light Brown,Purple,Scientist Glasses,None,20.814668845352095,55
55,Noob,None,Standard Face,Oh,Confused,Rainbow Shirt,Light Brown,Purple,None,None,0.43937123572937364,56
56,Noob,None,Standard Face,Oh,Alien,Heart Shirt,Light Brown,Yellow,Scientist Glasses,None,21.150810925064622,57
57,Digipet,None,Simple,None,None,Classic Pink,Pink Body,Yellow,None,None,52.39504445314992,58
58,Noob,None,Standard Face,Face Mask,Scar,Blue Bowtie Shirt,Light Brown,Pink,None,None,4.177366886193388,59
59,Night Panthers,Military Cap,Standard Face,Goofy,Standard,None,Green Zeal,Dark,None,None,51.09139583472938,60
60,OG,None,Standard Face,Rainbow Smile,Shocked,Gray Skeleton Hoodie,Light Brown,Pink,None,None,4.517275750969287,61
61,OG,Military Visor Hat,Standard Face,Shocked,Standard,Plaid Shirt,Light Brown,Blue,None,None,25.67149978656293,62
62,Animals,Blue Party Hat,Standard Face,Standard,Baby,Blue Skeleton Hoodie,Panda,Green,None,None,45.523637924303394,63
63,Digipet,None,Simple Happy,None,None,Classic Red,Pink Body,Orange,None,None,52.2253816474862,64
